ticker,priority_score,momentum_score,quality_score,form,updated_utc,recency_min,link
WSUP,65,31,65,8-K,2026-04-27T17:29:23-04:00,91,https://www.sec.gov/Archives/edgar/data/1819516/000162828026027641/0001628280-26-027641-index.htm
ELSE,65,31,65,8-K,2026-04-27T17:28:36-04:00,92,https://www.sec.gov/Archives/edgar/data/351789/000089710126000148/0000897101-26-000148-index.htm
VLDX,65,31,65,8-K,2026-04-27T17:28:17-04:00,92,https://www.sec.gov/Archives/edgar/data/1825079/000149315226019195/0001493152-26-019195-index.htm
WABC,65,31,65,8-K,2026-04-27T17:25:43-04:00,95,https://www.sec.gov/Archives/edgar/data/311094/000117184326002737/0001171843-26-002737-index.htm
EMBJ,65,31,65,6-K,2026-04-27T17:22:27-04:00,98,https://www.sec.gov/Archives/edgar/data/1355444/000129281426002545/0001292814-26-002545-index.htm
VIV,65,31,65,6-K,2026-04-27T17:22:01-04:00,98,https://www.sec.gov/Archives/edgar/data/1066119/000129281426002544/0001292814-26-002544-index.htm
OIOW,65,31,65,6-K,2026-04-27T17:20:51-04:00,100,https://www.sec.gov/Archives/edgar/data/1957538/000149315226019185/0001493152-26-019185-index.htm
CR,65,31,65,8-K,2026-04-27T17:19:36-04:00,101,https://www.sec.gov/Archives/edgar/data/1944013/000194401326000133/0001944013-26-000133-index.htm
KINS,65,31,65,8-K,2026-04-27T17:18:32-04:00,102,https://www.sec.gov/Archives/edgar/data/33992/000102177126000063/0001021771-26-000063-index.htm
IPOD,65,31,65,8-K,2026-04-27T17:15:56-04:00,104,https://www.sec.gov/Archives/edgar/data/2041047/000121390026048089/0001213900-26-048089-index.htm
MANE,65,31,65,8-K,2026-04-27T17:16:27-04:00,104,https://www.sec.gov/Archives/edgar/data/1827635/000162828026027629/0001628280-26-027629-index.htm
PFE,65,31,65,8-K,2026-04-27T17:16:36-04:00,104,https://www.sec.gov/Archives/edgar/data/78003/000007800326000044/0000078003-26-000044-index.htm
APAD,65,31,65,8-K,2026-04-27T17:15:15-04:00,105,https://www.sec.gov/Archives/edgar/data/1956439/000121390026048086/0001213900-26-048086-index.htm
TRT,65,31,65,8-K,2026-04-27T17:15:14-04:00,105,https://www.sec.gov/Archives/edgar/data/732026/000143774926013511/0001437749-26-013511-index.htm
YSWY,65,31,65,8-K,2026-04-27T17:15:17-04:00,105,https://www.sec.gov/Archives/edgar/data/1859836/000110465926049520/0001104659-26-049520-index.htm
GH,65,31,65,8-K,2026-04-27T17:11:52-04:00,109,https://www.sec.gov/Archives/edgar/data/1576280/000119312526182391/0001193125-26-182391-index.htm
NOA,65,31,65,6-K,2026-04-27T17:10:25-04:00,110,https://www.sec.gov/Archives/edgar/data/1368519/000117184326002736/0001171843-26-002736-index.htm
BRO,65,31,65,8-K,2026-04-27T17:08:57-04:00,111,https://www.sec.gov/Archives/edgar/data/79282/000119312526182375/0001193125-26-182375-index.htm
NGEN,65,31,65,6-K,2026-04-27T17:05:57-04:00,114,https://www.sec.gov/Archives/edgar/data/1751912/000110465926049508/0001104659-26-049508-index.htm
PFBX,65,31,65,8-K,2026-04-27T17:05:52-04:00,115,https://www.sec.gov/Archives/edgar/data/770460/000110465926049507/0001104659-26-049507-index.htm
BPRN,65,31,65,8-K,2026-04-27T17:02:08-04:00,118,https://www.sec.gov/Archives/edgar/data/1913971/000119312526182356/0001193125-26-182356-index.htm
NVRI,65,31,65,8-K,2026-04-27T17:02:26-04:00,118,https://www.sec.gov/Archives/edgar/data/45876/000004587626000075/0000045876-26-000075-index.htm
ANTA,65,31,65,6-K,2026-04-27T17:00:03-04:00,120,https://www.sec.gov/Archives/edgar/data/2044255/000117184326002735/0001171843-26-002735-index.htm
FLYE,65,31,65,8-K,2026-04-27T17:00:17-04:00,120,https://www.sec.gov/Archives/edgar/data/1975940/000121390026048067/0001213900-26-048067-index.htm
GURE,65,31,65,8-K,2026-04-27T17:00:26-04:00,120,https://www.sec.gov/Archives/edgar/data/885462/000119380526000512/0001193805-26-000512-index.htm
KVAC,65,31,65,8-K,2026-04-27T17:00:15-04:00,120,https://www.sec.gov/Archives/edgar/data/1889983/000121390026048066/0001213900-26-048066-index.htm
LTBR,65,31,65,8-K,2026-04-27T17:00:34-04:00,120,https://www.sec.gov/Archives/edgar/data/1084554/000147793226002579/0001477932-26-002579-index.htm
INM,65,31,65,8-K,2026-04-27T16:58:16-04:00,122,https://www.sec.gov/Archives/edgar/data/1728328/000121390026048064/0001213900-26-048064-index.htm
NUE,65,31,65,8-K,2026-04-27T16:56:42-04:00,124,https://www.sec.gov/Archives/edgar/data/73309/000119312526182332/0001193125-26-182332-index.htm
USAU,65,31,65,8-K,2026-04-27T16:50:27-04:00,130,https://www.sec.gov/Archives/edgar/data/27093/000149315226019166/0001493152-26-019166-index.htm
FSUN,65,31,65,8-K,2026-04-27T16:47:33-04:00,133,https://www.sec.gov/Archives/edgar/data/1709442/000170944226000026/0001709442-26-000026-index.htm
MRBK,65,31,65,8-K,2026-04-27T16:47:26-04:00,133,https://www.sec.gov/Archives/edgar/data/1750735/000175073526000039/0001750735-26-000039-index.htm
CBSH,65,31,65,8-K,2026-04-27T16:46:23-04:00,134,https://www.sec.gov/Archives/edgar/data/22356/000002235626000125/0000022356-26-000125-index.htm
IMAQ,65,31,65,8-K,2026-04-27T16:45:22-04:00,135,https://www.sec.gov/Archives/edgar/data/1846235/000121390026048055/0001213900-26-048055-index.htm
KRC,65,31,65,8-K,2026-04-27T16:43:32-04:00,137,https://www.sec.gov/Archives/edgar/data/1025996/000162828026027543/0001628280-26-027543-index.htm
PAHC,65,31,65,8-K,2026-04-27T16:43:50-04:00,137,https://www.sec.gov/Archives/edgar/data/1069899/000110465926049485/0001104659-26-049485-index.htm
FDBC,65,31,65,8-K,2026-04-27T16:42:09-04:00,138,https://www.sec.gov/Archives/edgar/data/1098151/000143774926013488/0001437749-26-013488-index.htm
HCA,65,31,65,8-K,2026-04-27T16:41:04-04:00,139,https://www.sec.gov/Archives/edgar/data/860730/000119312526182265/0001193125-26-182265-index.htm
ARE,65,31,65,8-K,2026-04-27T16:39:01-04:00,141,https://www.sec.gov/Archives/edgar/data/1035443/000103544326000045/0001035443-26-000045-index.htm
CME,65,31,65,8-K,2026-04-27T16:38:50-04:00,142,https://www.sec.gov/Archives/edgar/data/1156375/000115637526000022/0001156375-26-000022-index.htm
HLMN,65,31,65,8-K,2026-04-27T16:38:44-04:00,142,https://www.sec.gov/Archives/edgar/data/1822492/000182249226000078/0001822492-26-000078-index.htm
PACS,65,31,65,8-K,2026-04-27T16:36:22-04:00,144,https://www.sec.gov/Archives/edgar/data/2001184/000200118426000011/0002001184-26-000011-index.htm
CLLS,65,31,65,6-K,2026-04-27T16:35:05-04:00,145,https://www.sec.gov/Archives/edgar/data/1627281/000117184326002734/0001171843-26-002734-index.htm
PDC,65,31,65,6-K,2026-04-27T16:35:50-04:00,145,https://www.sec.gov/Archives/edgar/data/1944399/000121390026048047/0001213900-26-048047-index.htm
UTZ,65,31,65,8-K,2026-04-27T16:33:07-04:00,147,https://www.sec.gov/Archives/edgar/data/1739566/000162828026027526/0001628280-26-027526-index.htm
VTR,65,31,65,8-K,2026-04-27T16:33:06-04:00,147,https://www.sec.gov/Archives/edgar/data/740260/000074026026000016/0000740260-26-000016-index.htm
INVL,65,31,65,8-K,2026-04-27T16:32:36-04:00,148,https://www.sec.gov/Archives/edgar/data/2001557/000200155726000085/0002001557-26-000085-index.htm
